token_id,speaker_id,sentence_id,file_path,word,repetition,phoneme,onset,offset,duration,l1_status,gender
AB_j'en chie_r1_p0,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,d,1.1,1.28,179.99999999999994,ru,f
AB_j'en chie_r1_p1,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,i,1.28,1.57,290.00000000000006,ru,f
AB_j'en chie_r1_p2,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,ʒ,1.62,1.80063,180.62999999999985,ru,f
AB_j'en chie_r1_p3,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,ɑ̃,1.80063,2.07,269.3699999999999,ru,f
AB_j'en chie_r1_p4,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,ʃ,2.07,2.31,240.00000000000023,ru,f
AB_j'en chie_r1_p5,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,i,2.31,2.5,189.99999999999994,ru,f
AB_j'en chie_r1_p6,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,t,2.55,2.6,50.00000000000027,ru,f
AB_j'en chie_r1_p7,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,ʁ,2.6,2.7,100.00000000000009,ru,f
AB_j'en chie_r1_p8,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,w,2.7,2.8,99.99999999999964,ru,f
AB_j'en chie_r1_p9,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,a,2.8,2.97,170.00000000000037,ru,f
AB_j'en chie_r1_p10,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,f,2.97,3.15,179.99999999999972,ru,f
AB_j'en chie_r1_p11,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,w,3.15,3.23366,83.66000000000007,ru,f
AB_j'en chie_r1_p12,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,a,3.23366,3.39,156.34000000000015,ru,f
AB_juxtaposer_r1_p0,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,d,0.67,0.82,149.99999999999991,ru,f
AB_juxtaposer_r1_p1,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,i,0.82,1.14,319.99999999999994,ru,f
AB_juxtaposer_r1_p2,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,j,1.36695,1.52,153.0499999999999,ru,f
AB_juxtaposer_r1_p3,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,y,1.52,1.61,90.00000000000009,ru,f
AB_juxtaposer_r1_p4,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,k,1.61,1.68,69.99999999999984,ru,f
AB_juxtaposer_r1_p5,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,s,1.68,1.81,130.0000000000001,ru,f
AB_juxtaposer_r1_p6,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,t,1.81,1.86,50.00000000000004,ru,f
AB_juxtaposer_r1_p7,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,a,1.86,1.94,79.99999999999984,ru,f
AB_juxtaposer_r1_p8,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,p,1.94,2.08091,140.90999999999985,ru,f
AB_juxtaposer_r1_p9,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,o,2.08091,2.16103,80.11999999999998,ru,f
AB_juxtaposer_r1_p10,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,z,2.16103,2.28,118.97000000000003,ru,f
AB_juxtaposer_r1_p11,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,e,2.28,2.44606,166.06000000000031,ru,f
AB_juxtaposer_r1_p12,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,t,2.83,2.87,40.000000000000036,ru,f
AB_juxtaposer_r1_p13,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,ʁ,2.87,2.94,69.99999999999984,ru,f
AB_juxtaposer_r1_p14,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,w,2.94,3.01,69.99999999999984,ru,f
AB_juxtaposer_r1_p15,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,a,3.01,3.14,130.00000000000034,ru,f
AB_juxtaposer_r1_p16,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,f,3.14,3.32,179.99999999999972,ru,f
AB_juxtaposer_r1_p17,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,w,3.32,3.39,70.00000000000028,ru,f
AB_juxtaposer_r1_p18,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,a,3.39,3.55,159.9999999999997,ru,f
AB_pas ceux_r1_p0,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp11.wav,pas ceux,1,d,0.83,0.98,150.00000000000003,ru,f
AB_pas ceux_r1_p1,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp11.wav,pas ceux,1,i,0.98,1.22,240.0,ru,f
AB_pas ceux_r1_p2,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp11.wav,pas ceux,1,p,1.50438,1.54648,42.10000000000002,ru,f
AB_pas ceux_r1_p3,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp11.wav,pas ceux,1,ɑ,1.54648,1.71,163.5199999999999,ru,f
AB_pas ceux_r1_p4,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp11.wav,pas ceux,1,s,1.71,1.95,240.0,ru,f
AB_pas ceux_r1_p5,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp11.wav,pas ceux,1,ø,1.95,2.14057,190.5699999999999,ru,f
AB_pas ceux_r1_p6,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp11.wav,pas ceux,1,t,2.51,2.56,50.00000000000027,ru,f
AB_pas ceux_r1_p7,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp11.wav,pas ceux,1,ʁ,2.56,2.63,69.99999999999984,ru,f
AB_pas ceux_r1_p8,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp11.wav,pas ceux,1,w,2.63,2.69,60.00000000000006,ru,f
AB_pas ceux_r1_p9,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp11.wav,pas ceux,1,a,2.69,2.83,140.0000000000001,ru,f
AB_pas ceux_r1_p10,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp11.wav,pas ceux,1,f,2.83,3.0,169.99999999999994,ru,f
AB_pas ceux_r1_p11,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp11.wav,pas ceux,1,w,3.0,3.05,49.99999999999982,ru,f
AB_pas ceux_r1_p12,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp11.wav,pas ceux,1,a,3.05,3.23,180.00000000000017,ru,f
AB_garage_r1_p0,AB,garage,data\raw\corpus\AB\ab_rus_list1_FRcorp12.wav,garage,1,d,0.65,0.78,130.0,ru,f
AB_garage_r1_p1,AB,garage,data\raw\corpus\AB\ab_rus_list1_FRcorp12.wav,garage,1,i,0.78,1.01,229.99999999999997,ru,f
AB_garage_r1_p2,AB,garage,data\raw\corpus\AB\ab_rus_list1_FRcorp12.wav,garage,1,ɡ,1.08199,1.1996,117.60999999999999,ru,f
AB_garage_r1_p3,AB,garage,data\raw\corpus\AB\ab_rus_list1_FRcorp12.wav,garage,1,a,1.1996,1.29,90.40000000000003,ru,f
AB_garage_r1_p4,AB,garage,data\raw\corpus\AB\ab_rus_list1_FRcorp12.wav,garage,1,ʁ,1.29,1.37916,89.15999999999991,ru,f
AB_garage_r1_p5,AB,garage,data\raw\corpus\AB\ab_rus_list1_FRcorp12.wav,garage,1,a,1.37916,1.55,170.8400000000001,ru,f
AB_garage_r1_p6,AB,garage,data\raw\corpus\AB\ab_rus_list1_FRcorp12.wav,garage,1,ʒ,1.55,1.77043,220.4299999999999,ru,f
AB_garage_r1_p7,AB,garage,data\raw\corpus\AB\ab_rus_list1_FRcorp12.wav,garage,1,t,2.04,2.08,40.000000000000036,ru,f
AB_garage_r1_p8,AB,garage,data\raw\corpus\AB\ab_rus_list1_FRcorp12.wav,garage,1,ʁ,2.08,2.16,80.00000000000007,ru,f
AB_garage_r1_p9,AB,garage,data\raw\corpus\AB\ab_rus_list1_FRcorp12.wav,garage,1,w,2.16,2.22,60.00000000000006,ru,f
AB_garage_r1_p10,AB,garage,data\raw\corpus\AB\ab_rus_list1_FRcorp12.wav,garage,1,a,2.22,2.36,139.9999999999997,ru,f
AB_garage_r1_p11,AB,garage,data\raw\corpus\AB\ab_rus_list1_FRcorp12.wav,garage,1,f,2.36,2.52,160.00000000000014,ru,f
AB_garage_r1_p12,AB,garage,data\raw\corpus\AB\ab_rus_list1_FRcorp12.wav,garage,1,w,2.52,2.58,60.00000000000006,ru,f
AB_garage_r1_p13,AB,garage,data\raw\corpus\AB\ab_rus_list1_FRcorp12.wav,garage,1,a,2.58,2.76,179.99999999999972,ru,f
AB_tsarine_r1_p0,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp13.wav,tsarine,1,d,0.67,0.82,149.99999999999991,ru,f
AB_tsarine_r1_p1,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp13.wav,tsarine,1,i,0.82,1.05,230.00000000000009,ru,f
AB_tsarine_r1_p2,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp13.wav,tsarine,1,t͡s,1.13137,1.29033,158.95999999999998,ru,f
AB_tsarine_r1_p3,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp13.wav,tsarine,1,a,1.29033,1.39007,99.73999999999994,ru,f
AB_tsarine_r1_p4,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp13.wav,tsarine,1,ʁ,1.39007,1.46,69.93000000000005,ru,f
AB_tsarine_r1_p5,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp13.wav,tsarine,1,i,1.46,1.55,90.00000000000009,ru,f
AB_tsarine_r1_p6,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp13.wav,tsarine,1,n,1.55,1.73,179.99999999999994,ru,f
AB_tsarine_r1_p7,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp13.wav,tsarine,1,t,2.06,2.11,49.99999999999982,ru,f
AB_tsarine_r1_p8,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp13.wav,tsarine,1,ʁ,2.11,2.19,80.00000000000007,ru,f
AB_tsarine_r1_p9,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp13.wav,tsarine,1,w,2.19,2.23,40.000000000000036,ru,f
AB_tsarine_r1_p10,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp13.wav,tsarine,1,a,2.23,2.39,160.00000000000014,ru,f
AB_tsarine_r1_p11,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp13.wav,tsarine,1,f,2.39,2.54,149.99999999999991,ru,f
AB_tsarine_r1_p12,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp13.wav,tsarine,1,w,2.54,2.62,80.00000000000007,ru,f
AB_tsarine_r1_p13,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp13.wav,tsarine,1,a,2.62,2.77,149.99999999999991,ru,f
AB_cache cache_r2_p0,AB,cache cache,data\raw\corpus\AB\ab_rus_list1_FRcorp14.wav,cache cache,2,d,0.58,0.7,120.0,ru,f
AB_cache cache_r2_p1,AB,cache cache,data\raw\corpus\AB\ab_rus_list1_FRcorp14.wav,cache cache,2,i,0.7,0.93,230.00000000000009,ru,f
AB_cache cache_r2_p2,AB,cache cache,data\raw\corpus\AB\ab_rus_list1_FRcorp14.wav,cache cache,2,k,1.04,1.09584,55.83999999999989,ru,f
AB_cache cache_r2_p3,AB,cache cache,data\raw\corpus\AB\ab_rus_list1_FRcorp14.wav,cache cache,2,a,1.09584,1.21,114.16000000000004,ru,f
AB_cache cache_r2_p4,AB,cache cache,data\raw\corpus\AB\ab_rus_list1_FRcorp14.wav,cache cache,2,ʃ,1.21,1.41006,200.06000000000012,ru,f
AB_cache cache_r2_p5,AB,cache cache,data\raw\corpus\AB\ab_rus_list1_FRcorp14.wav,cache cache,2,k,1.41006,1.50285,92.78999999999994,ru,f
AB_cache cache_r2_p6,AB,cache cache,data\raw\corpus\AB\ab_rus_list1_FRcorp14.wav,cache cache,2,a,1.50285,1.65645,153.59999999999997,ru,f
AB_cache cache_r2_p7,AB,cache cache,data\raw\corpus\AB\ab_rus_list1_FRcorp14.wav,cache cache,2,ʃ,1.65645,1.89189,235.44000000000008,ru,f
AB_cache cache_r2_p8,AB,cache cache,data\raw\corpus\AB\ab_rus_list1_FRcorp14.wav,cache cache,2,t,2.24,2.28,39.99999999999959,ru,f
AB_cache cache_r2_p9,AB,cache cache,data\raw\corpus\AB\ab_rus_list1_FRcorp14.wav,cache cache,2,ʁ,2.28,2.36,80.00000000000007,ru,f
AB_cache cache_r2_p10,AB,cache cache,data\raw\corpus\AB\ab_rus_list1_FRcorp14.wav,cache cache,2,w,2.36,2.42,60.00000000000006,ru,f
AB_cache cache_r2_p11,AB,cache cache,data\raw\corpus\AB\ab_rus_list1_FRcorp14.wav,cache cache,2,a,2.42,2.54,120.00000000000011,ru,f
AB_cache cache_r2_p12,AB,cache cache,data\raw\corpus\AB\ab_rus_list1_FRcorp14.wav,cache cache,2,f,2.54,2.71,169.99999999999994,ru,f
AB_cache cache_r2_p13,AB,cache cache,data\raw\corpus\AB\ab_rus_list1_FRcorp14.wav,cache cache,2,w,2.71,2.77,60.00000000000006,ru,f
AB_cache cache_r2_p14,AB,cache cache,data\raw\corpus\AB\ab_rus_list1_FRcorp14.wav,cache cache,2,a,2.77,2.94,169.99999999999994,ru,f
AB_tsarine_r2_p0,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp15.wav,tsarine,2,d,0.61,0.75,140.0,ru,f
AB_tsarine_r2_p1,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp15.wav,tsarine,2,i,0.75,0.97,219.99999999999997,ru,f
AB_tsarine_r2_p2,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp15.wav,tsarine,2,t͡s,1.0841,1.21,125.8999999999999,ru,f
AB_tsarine_r2_p3,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp15.wav,tsarine,2,a,1.21,1.31,100.00000000000009,ru,f
AB_tsarine_r2_p4,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp15.wav,tsarine,2,ʁ,1.31,1.38541,75.40999999999998,ru,f
AB_tsarine_r2_p5,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp15.wav,tsarine,2,i,1.38541,1.49,104.58999999999996,ru,f
AB_tsarine_r2_p6,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp15.wav,tsarine,2,n,1.49,1.66684,176.84000000000012,ru,f
AB_tsarine_r2_p7,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp15.wav,tsarine,2,t,2.03,2.08,50.00000000000027,ru,f
AB_tsarine_r2_p8,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp15.wav,tsarine,2,ʁ,2.08,2.16,80.00000000000007,ru,f
AB_tsarine_r2_p9,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp15.wav,tsarine,2,w,2.16,2.21,49.99999999999982,ru,f
AB_tsarine_r2_p10,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp15.wav,tsarine,2,a,2.21,2.36,149.99999999999991,ru,f
AB_tsarine_r2_p11,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp15.wav,tsarine,2,f,2.36,2.52,160.00000000000014,ru,f
AB_tsarine_r2_p12,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp15.wav,tsarine,2,w,2.52,2.58,60.00000000000006,ru,f
AB_tsarine_r2_p13,AB,tsarine,data\raw\corpus\AB\ab_rus_list1_FRcorp15.wav,tsarine,2,a,2.58,2.76,179.99999999999972,ru,f
AB_tulle_r2_p0,AB,tulle,data\raw\corpus\AB\ab_rus_list1_FRcorp16.wav,tulle,2,d,0.66,0.82,159.99999999999991,ru,f
AB_tulle_r2_p1,AB,tulle,data\raw\corpus\AB\ab_rus_list1_FRcorp16.wav,tulle,2,i,0.82,1.06,240.0000000000001,ru,f
AB_tulle_r2_p2,AB,tulle,data\raw\corpus\AB\ab_rus_list1_FRcorp16.wav,tulle,2,t,1.23149,1.33314,101.65000000000002,ru,f
AB_tulle_r2_p3,AB,tulle,data\raw\corpus\AB\ab_rus_list1_FRcorp16.wav,tulle,2,y,1.33314,1.45173,118.58999999999997,ru,f
AB_tulle_r2_p4,AB,tulle,data\raw\corpus\AB\ab_rus_list1_FRcorp16.wav,tulle,2,l,1.45173,1.58068,128.95000000000013,ru,f
AB_tulle_r2_p5,AB,tulle,data\raw\corpus\AB\ab_rus_list1_FRcorp16.wav,tulle,2,t,1.87,1.91,39.999999999999815,ru,f
AB_tulle_r2_p6,AB,tulle,data\raw\corpus\AB\ab_rus_list1_FRcorp16.wav,tulle,2,ʁ,1.91,2.0,90.00000000000009,ru,f
AB_tulle_r2_p7,AB,tulle,data\raw\corpus\AB\ab_rus_list1_FRcorp16.wav,tulle,2,w,2.0,2.04,40.000000000000036,ru,f
AB_tulle_r2_p8,AB,tulle,data\raw\corpus\AB\ab_rus_list1_FRcorp16.wav,tulle,2,a,2.04,2.19,149.99999999999991,ru,f
AB_tulle_r2_p9,AB,tulle,data\raw\corpus\AB\ab_rus_list1_FRcorp16.wav,tulle,2,f,2.19,2.34,149.99999999999991,ru,f
AB_tulle_r2_p10,AB,tulle,data\raw\corpus\AB\ab_rus_list1_FRcorp16.wav,tulle,2,w,2.34,2.41,70.00000000000028,ru,f
AB_tulle_r2_p11,AB,tulle,data\raw\corpus\AB\ab_rus_list1_FRcorp16.wav,tulle,2,a,2.41,2.59,179.99999999999972,ru,f
AB_louche_r2_p0,AB,louche,data\raw\corpus\AB\ab_rus_list1_FRcorp17.wav,louche,2,d,0.69,0.82,130.0,ru,f
AB_louche_r2_p1,AB,louche,data\raw\corpus\AB\ab_rus_list1_FRcorp17.wav,louche,2,i,0.82,1.07,250.0000000000001,ru,f
AB_louche_r2_p2,AB,louche,data\raw\corpus\AB\ab_rus_list1_FRcorp17.wav,louche,2,l,1.24882,1.36,111.18000000000006,ru,f
AB_louche_r2_p3,AB,louche,data\raw\corpus\AB\ab_rus_list1_FRcorp17.wav,louche,2,u,1.36,1.45,89.99999999999986,ru,f
AB_louche_r2_p4,AB,louche,data\raw\corpus\AB\ab_rus_list1_FRcorp17.wav,louche,2,ʃ,1.45,1.73,280.0,ru,f
AB_louche_r2_p5,AB,louche,data\raw\corpus\AB\ab_rus_list1_FRcorp17.wav,louche,2,t,1.98,2.03,49.99999999999982,ru,f
AB_louche_r2_p6,AB,louche,data\raw\corpus\AB\ab_rus_list1_FRcorp17.wav,louche,2,ʁ,2.03,2.1,70.00000000000028,ru,f
AB_louche_r2_p7,AB,louche,data\raw\corpus\AB\ab_rus_list1_FRcorp17.wav,louche,2,w,2.1,2.15,49.99999999999982,ru,f
AB_louche_r2_p8,AB,louche,data\raw\corpus\AB\ab_rus_list1_FRcorp17.wav,louche,2,a,2.15,2.29,140.0000000000001,ru,f
AB_louche_r2_p9,AB,louche,data\raw\corpus\AB\ab_rus_list1_FRcorp17.wav,louche,2,f,2.29,2.46,169.99999999999994,ru,f
AB_louche_r2_p10,AB,louche,data\raw\corpus\AB\ab_rus_list1_FRcorp17.wav,louche,2,w,2.46,2.54,80.00000000000007,ru,f
AB_louche_r2_p11,AB,louche,data\raw\corpus\AB\ab_rus_list1_FRcorp17.wav,louche,2,a,2.54,2.71,169.99999999999994,ru,f
AB_j'en chie_r2_p0,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp18.wav,j'en chie,2,d,0.57,0.72,150.00000000000003,ru,f
AB_j'en chie_r2_p1,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp18.wav,j'en chie,2,i,0.72,0.96,240.0,ru,f
AB_j'en chie_r2_p2,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp18.wav,j'en chie,2,ʒ,1.12696,1.24,113.04000000000003,ru,f
AB_j'en chie_r2_p3,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp18.wav,j'en chie,2,ɑ̃,1.24,1.49555,255.54999999999995,ru,f
AB_j'en chie_r2_p4,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp18.wav,j'en chie,2,ʃ,1.49555,1.7046,209.04999999999995,ru,f
AB_j'en chie_r2_p5,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp18.wav,j'en chie,2,i,1.7046,1.87204,167.44000000000003,ru,f
AB_j'en chie_r2_p6,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp18.wav,j'en chie,2,t,2.09,2.14,50.00000000000027,ru,f
AB_j'en chie_r2_p7,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp18.wav,j'en chie,2,ʁ,2.14,2.23,89.99999999999986,ru,f
AB_j'en chie_r2_p8,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp18.wav,j'en chie,2,w,2.23,2.27,40.000000000000036,ru,f
AB_j'en chie_r2_p9,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp18.wav,j'en chie,2,a,2.27,2.41,140.0000000000001,ru,f
AB_j'en chie_r2_p10,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp18.wav,j'en chie,2,f,2.41,2.58,169.99999999999994,ru,f
AB_j'en chie_r2_p11,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp18.wav,j'en chie,2,w,2.58,2.65,69.99999999999984,ru,f
AB_j'en chie_r2_p12,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp18.wav,j'en chie,2,a,2.65,2.8,149.99999999999991,ru,f
AB_pas ceux_r2_p0,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp19.wav,pas ceux,2,d,0.71,0.85,140.0,ru,f
AB_pas ceux_r2_p1,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp19.wav,pas ceux,2,i,0.85,1.08,230.00000000000009,ru,f
AB_pas ceux_r2_p2,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp19.wav,pas ceux,2,p,1.23,1.27,40.000000000000036,ru,f
AB_pas ceux_r2_p3,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp19.wav,pas ceux,2,ɑ,1.27,1.43,159.99999999999991,ru,f
AB_pas ceux_r2_p4,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp19.wav,pas ceux,2,s,1.43,1.65,219.99999999999997,ru,f
AB_pas ceux_r2_p5,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp19.wav,pas ceux,2,ø,1.65,1.84689,196.89000000000001,ru,f
AB_pas ceux_r2_p6,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp19.wav,pas ceux,2,t,2.09,2.14,50.00000000000027,ru,f
AB_pas ceux_r2_p7,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp19.wav,pas ceux,2,ʁ,2.14,2.21,69.99999999999984,ru,f
AB_pas ceux_r2_p8,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp19.wav,pas ceux,2,w,2.21,2.28,69.99999999999984,ru,f
AB_pas ceux_r2_p9,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp19.wav,pas ceux,2,a,2.28,2.39,110.00000000000031,ru,f
AB_pas ceux_r2_p10,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp19.wav,pas ceux,2,f,2.39,2.56,169.99999999999994,ru,f
AB_pas ceux_r2_p11,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp19.wav,pas ceux,2,w,2.56,2.63,69.99999999999984,ru,f
AB_pas ceux_r2_p12,AB,pas ceux,data\raw\corpus\AB\ab_rus_list1_FRcorp19.wav,pas ceux,2,a,2.63,2.83,200.00000000000017,ru,f
AB_sérieux_r1_p0,AB,sérieux,data\raw\corpus\AB\ab_rus_list1_FRcorp2.wav,sérieux,1,d,0.84,1.01,170.00000000000003,ru,f
AB_sérieux_r1_p1,AB,sérieux,data\raw\corpus\AB\ab_rus_list1_FRcorp2.wav,sérieux,1,i,1.01,1.27,260.0,ru,f
AB_sérieux_r1_p2,AB,sérieux,data\raw\corpus\AB\ab_rus_list1_FRcorp2.wav,sérieux,1,s,1.45661,1.62,163.39000000000016,ru,f
AB_sérieux_r1_p3,AB,sérieux,data\raw\corpus\AB\ab_rus_list1_FRcorp2.wav,sérieux,1,e,1.62,1.74,119.99999999999989,ru,f
AB_sérieux_r1_p4,AB,sérieux,data\raw\corpus\AB\ab_rus_list1_FRcorp2.wav,sérieux,1,ʁ,1.74,1.86,120.00000000000011,ru,f
AB_sérieux_r1_p5,AB,sérieux,data\raw\corpus\AB\ab_rus_list1_FRcorp2.wav,sérieux,1,j,1.86,1.99,129.9999999999999,ru,f
AB_sérieux_r1_p6,AB,sérieux,data\raw\corpus\AB\ab_rus_list1_FRcorp2.wav,sérieux,1,ø,1.99,2.20007,210.0700000000002,ru,f
AB_sérieux_r1_p7,AB,sérieux,data\raw\corpus\AB\ab_rus_list1_FRcorp2.wav,sérieux,1,t,2.4,2.44,40.000000000000036,ru,f
AB_sérieux_r1_p8,AB,sérieux,data\raw\corpus\AB\ab_rus_list1_FRcorp2.wav,sérieux,1,ʁ,2.44,2.53,89.99999999999986,ru,f
AB_sérieux_r1_p9,AB,sérieux,data\raw\corpus\AB\ab_rus_list1_FRcorp2.wav,sérieux,1,w,2.53,2.6,70.00000000000028,ru,f
AB_sérieux_r1_p10,AB,sérieux,data\raw\corpus\AB\ab_rus_list1_FRcorp2.wav,sérieux,1,a,2.6,2.75,149.99999999999991,ru,f
AB_sérieux_r1_p11,AB,sérieux,data\raw\corpus\AB\ab_rus_list1_FRcorp2.wav,sérieux,1,f,2.75,2.93,180.00000000000017,ru,f
AB_sérieux_r1_p12,AB,sérieux,data\raw\corpus\AB\ab_rus_list1_FRcorp2.wav,sérieux,1,w,2.93,2.98,49.99999999999982,ru,f
